CTYUA24CD,CTYUA24NM,CTYUA24NMW,ObjectId
E09000033,Westminster,,185
E10000003,Cambridgeshire,,186
E10000007,Derbyshire,,187
E10000008,Devon,,188
E10000011,East Sussex,,189
E10000012,Essex,,190
E10000013,Gloucestershire,,191
E10000014,Hampshire,,192
E10000015,Hertfordshire,,193
E10000016,Kent,,194
E10000017,Lancashire,,195
E10000018,Leicestershire,,196
E10000019,Lincolnshire,,197
E10000020,Norfolk,,198
E10000024,Nottinghamshire,,199
E10000025,Oxfordshire,,200
E10000028,Staffordshire,,201
E10000029,Suffolk,,202
E10000030,Surrey,,203
E10000031,Warwickshire,,204
E10000032,West Sussex,,205
E10000034,Worcestershire,,206
N09000001,Antrim and Newtownabbey,,207
N09000002,"Armagh City, Banbridge and Craigavon",,208
N09000003,Belfast,,209
N09000004,Causeway Coast and Glens,,210
N09000005,Derry City and Strabane,,211
N09000006,Fermanagh and Omagh,,212
N09000007,Lisburn and Castlereagh,,213
N09000008,Mid and East Antrim,,214
N09000009,Mid Ulster,,215
N09000010,"Newry, Mourne and Down",,216
N09000011,Ards and North Down,,217
S12000005,Clackmannanshire,,218
